Model,Category,Precision,Recall,Fscore
gpt-4o,C1,0.7322834616839233,0.6966292108740479,0.7140110138855034
gpt-4o,C2,0.7128712835996471,0.6371681387735924,0.6728966946898618
gpt-4o,C3,0.31914892937981004,0.468749985351563,0.37974634385576245
gpt-4o,C4,0.11111110493827195,0.24999996875000394,0.15384571597750069
gpt-4o,C5,0.5638297812358534,0.4818181774380166,0.5196073411192758
gpt-4o,C6,0.5942028899390885,0.6406249899902345,0.6165408448192184
gpt-4o,C7,0.6863636332438017,0.6651982349550739,0.6756147096280644
gpt-4o,C8,0.25581395229853976,0.8593749865722659,0.39426487660775833
gpt-4o,C9,0.746945897474789,0.7062706258972432,0.7260385152757926
gpt-4o,C10,0.06818181663223144,0.3749999531250059,0.11538435059228519
gpt-4o,C11,0.0,0.0,0.0
