annotationDesc|predictDesc
C9|Houston|Houston
C5|I-45 & N. Main Street|I-45 & N. Main Street
C9|Austin, TX|Austin, TX
C1|101 Normandy St|101 Normandy St
C9|Rockport|Rockport
C9|Rockport|Rockport
C9|Rockport|Rockport
C9|Robstown|Robstown
C7|Aviator Ball Park|Aviator Ball Park
C6|Gulf Coast|Gulf Coast
C7|Roberts Point Park|Roberts Point Park
C9|Port Aransas, Texas|Port Aransas, Texas
C9|Port Arthur, Texas|Port Arthur, Texas
C7|St. Joseph Hall|St. Joseph Hall
C1|800 9th Ave|800 9th Ave
C2|Cactus Street|Cactus Street
C9|Fulton|Fulton
C1|9 Woodstone St, Houston 77024|9 Woodstone St, Houston 77024
C8|Cypress Ridge High School|Cypress Ridge High School
C2|Nasa Rd 1|Nasa Rd 1
C2|El Camino Real|El Camino Real
C1|805 Pennsylvania Ave, SouthHouston|805 Pennsylvania Ave, SouthHouston
C9|TX|TX
C9|sanantonio|sanantonio
C1|200 Gembler Rd|200 Gembler Rd
C1|7506 Jackrabbit Rd, Houston, TX 77095|7506 Jackrabbit Rd, Houston, TX 77095
C9|Katy, TX|Katy, TX
C9|Pecan Grove|Pecan Grove
C2|Mason Rd|Mason Rd
C1|872 Airport Rd|872 Airport Rd
C5|rayford rd @ grand parkway|rayford rd @ grand parkway
C7|Melrose Park|Melrose Park
C2|Allen Parkway|Allen Parkway
C6|Buffalo Bayou|Buffalo Bayou
C6|buffalo bayou|buffalo bayou
C2|Maxey Rd|Maxey Rd
C3|i10|i10
C7|Buffalo Bayou Park|Buffalo Bayou Park
C1|8111 Woodlyn Rd. 7702|8111 Woodlyn Rd. 7702
C1|21719 Grand Hollow Lane, Katy, TX 77450|21719 Grand Hollow Lane, Katy, TX 77450
C7|Spotts park|Spotts park
C2|Waugh drive|Waugh drive
C9|San Antonio, TX|San Antonio, TX
C2|Ingram Rd|Ingram Rd
C5|Mesa Rd & Tidwell|Mesa Rd & Tidwell
C1|1955 Monier Avenue|1955 Monier Avenue
C2|Fairwood Creek Lane|Fairwood Creek Lane
C9|Houston, TX|Houston, TX
C2|Sam Wilson Rd|Sam Wilson Rd
C7|Choke Canyon State Park|Choke Canyon State Park
C7|Vintage Park|Vintage Park
C9|Houston|Houston
C9|Houston|Houston
C9|Corpus Christi|Corpus Christi
C6|VB Oceanfront|VB Oceanfront
C1|2017 Winston Salem Rd|2017 Winston Salem Rd
C7|Walnut Hill Rex Center|Walnut Hill Rex Center
C9|Dallas|Dallas
C7|Rockport's City Hall|Rockport's City Hall
C9|Baytown|Baytown
C8|St. John's Episcopal Church|St. John's Episcopal Church
C9|D. C|D. C
C1|2101 Polk St|2101 Polk St
C9|Rockport|Rockport
C2|Roswell Rd|Roswell Rd
C5|Frankford Rd. & North Dallas Tollway|Frankford Rd. & North Dallas Tollway
C7|NRG Park|NRG Park
C2|Jones Rd|Jones Rd
C9|El Paso|El Paso
C2|Tierra Este Rd|Tierra Este Rd
C8|Klein Oak High School|Klein Oak High School
C1|22603 Northcrest Dr|22603 Northcrest Dr
C7|Whites Park Pavillion|Whites Park Pavillion
C9|Anahuac TX|Anahuac TX
C9|Katy TX|Katy TX
C9|Port Aransas|Port Aransas
C7|Trailer park|Trailer park
C1|1490 Cheatham Lane, Houston TX 77015|1490 Cheatham Lane, Houston TX 77015
C1|12431 Maura Lane, Houston, TX 77044|12431 Maura Lane, Houston, TX 77044
C1|3120 Deats Rd, Dickinson, Texas|3120 Deats Rd, Dickinson, Texas
C7|Ford Park|Ford Park
C9|Port Arthur|Port Arthur
C1|2226 East 18th Street|2226 East 18th Street
C1|2749 9th Avenue, Port Arthur, Texas|2749 9th Avenue, Port Arthur, Texas
C7|Townsen Park|Townsen Park
C2|Post Oak Park Dr|Post Oak Park Dr
C3|West Loop|West Loop
C9|houston|houston
C2|Barker Cypress Rd|Barker Cypress Rd
C1|3020 Shaver St 77502|3020 Shaver St 77502
C1|3700 Rutgers Ave|3700 Rutgers Ave
C1|413 Speights Loop Road, TX 77560|413 Speights Loop Road, TX 77560
C3|59 north|59 north
C4|Polk St exit|Polk St exit
C7|Convention Center|Convention Center
C2|Frontage Rd|Frontage Rd
C6|San Jacinto River|San Jacinto River
C1|5547 Cavalcade St, Houston, TX 77026|5547 Cavalcade St, Houston, TX 77026
C2|Arrow Hill Rd|Arrow Hill Rd
C7|Wildwood Park|Wildwood Park
C9|The Meadows|The Meadows
C5|Hwy 81 & Airport rd|Hwy 81 & Airport rd
C2|Kingfisher|Kingfisher
C5|Highway 90 & Pin Oak Road|Highway 90 & Pin Oak Road
C5|Hwy 90 & Avenue D|Hwy 90 & Avenue D
C2|Barker Cypress|Barker Cypress
C5|Paige St/Mckinney St|Paige St/Mckinney St
C7|Brazos Bend State Park|Brazos Bend State Park
C9|Sugarland TX|Sugarland TX
C1|Monarch Dr. 4135|Monarch Dr. 4135
C9|Houston|Houston
C1|1700 Bissonnet St. 77005|1700 Bissonnet St. 77005
C9|Katy, Texas|Katy, Texas
C9|Katy, Texas|Katy, Texas
C2|Custer Rd|Custer Rd
C1|5150 Burke Rd, Pasadena, TX 77505|5150 Burke Rd, Pasadena, TX 77505
C1|1917 W 15th St, Houston 77008|1917 W 15th St, Houston 77008
C3|I-10 highway|I-10 highway
C9|Rockport|Rockport
C7|Eleanor Tinsley Park|Eleanor Tinsley Park
C9|Houston|Houston
C2|West Bellfort ave|West Bellfort ave
C9|Houston Texas|Houston Texas
C8|Lakewood Church|Lakewood Church
C7|Tall Tales|Tall Tales
C1|413 Speights Loop Rd|413 Speights Loop Rd
C5|Highway 90 and Avenue D|Highway 90 and Avenue D
C5|Hwy 90 & Pin Oak Road|Hwy 90 & Pin Oak Road
C1|15020 Cutten Rd|15020 Cutten Rd
C9|Rockport|Rockport
C9|Corpus Christi|Corpus Christi
C2|25th Avenue|25th Avenue
C2|9th Avenue|9th Avenue
C1|6450 S. Belmont Ave|6450 S. Belmont Ave
C7|Orchard Park|Orchard Park
C7|Bogue Chitto State Park|Bogue Chitto State Park
C2|Alfred Street|Alfred Street
C6|Tampa Bay|Tampa Bay
C1|3222 Ivy Falls Dr|3222 Ivy Falls Dr
C6|Cypress Creek|Cypress Creek
C9|Corpus Christi|Corpus Christi
C8|Wedgewood elementary|Wedgewood elementary
C9|Friendswood|Friendswood
C1|4000 Friendswood Link Rd|4000 Friendswood Link Rd
C8|First Baptist Church|First Baptist Church
C1|4422 Lauder St Houston 77039|4422 Lauder St Houston 77039
C1|3406 Oak Drive, Dickinson TX|3406 Oak Drive, Dickinson TX
C2|Canal St|Canal St
C5|Clay Rd & Queenston|Clay Rd & Queenston
C2|Louetta Rd|Louetta Rd
C6|White Oak Bayou|White Oak Bayou
C7|Stude Park|Stude Park
C11|Almeda Genoa Rd. from Windmill Lakes Blvd. to Rowlett Rd|Almeda Genoa Rd. from Windmill Lakes Blvd. to Rowlett Rd
C9|Rockport|Rockport
C1|413 Speights Loop Road, Hankamer, TX|413 Speights Loop Road, Hankamer, TX
C9|Dallas|Dallas
C9|Rockport|Rockport
C7|Holiday Inn Houston SW|Holiday Inn Houston SW
C7|San Jacinto bridge|San Jacinto bridge
C7|NRG Park|NRG Park
C6|caribbean gulf|caribbean gulf
C1|6160 fry rd|6160 fry rd
C7|Shadow Creek Ranch|Shadow Creek Ranch
C2|Kingsley Dr|Kingsley Dr
