TweetID|TweetFullText|annotationDesc|predictDesc
10.txt|Harvey Elderly dad, brother, daughter and 3yr old grandson no power, food. Senior living community, Magnolia Estates, at 101 Normandy St|[{'locationDesc': 'Magnolia Estates', 'locationCate': 'C7', 'startIndex': 100, 'endIndex': 116}, {'locationDesc': '101 Normandy St', 'locationCate': 'C1', 'startIndex': 121, 'endIndex': 136}]|C8: Senior living community, Magnolia Estates; C1: 101 Normandy St
102.txt|Rockport update with HurricaneHarvey Looks like the Fairfield Inn|[{'locationDesc': 'Rockport', 'locationCate': 'C9', 'startIndex': 0, 'endIndex': 8}]|C9: Rockport; C8: Fairfield Inn
103.txt|Robstown residents, if you need sandbags swing by the Aviator Ball Park at the RichardMBorchardFairgrounds. Harvey|[{'locationDesc': 'Robstown', 'locationCate': 'C9', 'startIndex': 0, 'endIndex': 8}, {'locationDesc': 'Aviator Ball Park', 'locationCate': 'C7', 'startIndex': 54, 'endIndex': 71}]|C9: Robstown; C7: Aviator Ball Park; C7: RichardMBorchardFairgrounds
108.txt|harvey hurricaneharvey austintx walked home lol got7 lol @ Hyde Park (Austin, Texas)|[{'locationDesc': 'Hyde Park', 'locationCate': 'C7', 'startIndex': 59, 'endIndex': 68}, {'locationDesc': 'Austin, Texas', 'locationCate': 'C9', 'startIndex': 70, 'endIndex': 83}]|C7: Hyde Park (Austin, Texas)
111.txt|fox26 harvey huge Flooding in Mary Bates and Concho St|[{'locationDesc': 'Mary Bates and Concho St', 'locationCate': 'C5', 'startIndex': 30, 'endIndex': 54}]|C5: Mary Bates; C5: Concho St
112.txt|flood rescue Harvey 7:00 PM ELDERLY CAN NOT GET ON THE ROOF NEED A RESCUE 1230 Havner lane Houston, Tx 77037 PLEASE SHARE!!|[{'locationDesc': '1230 Havner lane Houston, Tx 77037', 'locationCate': 'C1', 'startIndex': 74, 'endIndex': 108}]|C1: 1230 Havner lane, Houston, Tx 77037
113.txt|chainedDogs & bird @ 805 Pennsylvania Ave, SouthHouston need SOS rescue. abandoned since last week. Harveypets Houston houstonflood|[{'locationDesc': '805 Pennsylvania Ave, SouthHouston', 'locationCate': 'C1', 'startIndex': 21, 'endIndex': 55}, {'locationDesc': 'Houston', 'locationCate': 'C9', 'startIndex': 48, 'endIndex': 55}]|C1: 805 Pennsylvania Ave, SouthHouston
117.txt|HurricaneHarvey Emergency Rescue needed in Katy, TX 22818 Saginaw Point Lane from Katy TX â€¦|[{'locationDesc': 'Katy, TX', 'locationCate': 'C9', 'startIndex': 43, 'endIndex': 51}, {'locationDesc': '22818 Saginaw Point Lane from Katy TX', 'locationCate': 'C1', 'startIndex': 52, 'endIndex': 89}]|C9: Katy, TX; C1: 22818 Saginaw Point Lane
118.txt|Texas Harvey- We need mandatory evacuation for Pecan Grove.|[{'locationDesc': 'Texas', 'locationCate': 'C9', 'startIndex': 0, 'endIndex': 5}, {'locationDesc': 'Pecan Grove', 'locationCate': 'C9', 'startIndex': 47, 'endIndex': 58}]|C9: Pecan Grove
119.txt|harvey2017texas HarveyStorm Red Roof Inn and La Quinta At Mason Rd take animals. Don't leave your animal|[{'locationDesc': 'Mason Rd', 'locationCate': 'C2', 'startIndex': 58, 'endIndex': 66}]|C8: Red Roof Inn; C8: La Quinta; C2: Mason Rd
12.txt|Harvey ANIMALS PETS- TAMU veterinary team locations: Rockport Aransas Co Animal 361-790-0151 872 Airport Rd|[{'locationDesc': '872 Airport Rd', 'locationCate': 'C1', 'startIndex': 93, 'endIndex': 107}]|C9: Rockport; C9: Aransas Co; C8: 872 Airport Rd
120.txt|heb on rayford rd @ grand parkway will close at 3 pm today. Plenty of supplies available still. HurricaneHarvey spring Houston|[{'locationDesc': 'rayford rd @ grand parkway', 'locationCate': 'C5', 'startIndex': 7, 'endIndex': 33}, {'locationDesc': 'spring', 'locationCate': 'C9', 'startIndex': 112, 'endIndex': 118}, {'locationDesc': 'Houston', 'locationCate': 'C9', 'startIndex': 119, 'endIndex': 126}]|C8: heb; C2: rayford rd @ grand parkway
122.txt|houstonflood hurricaneharvey 21719 grand hollow lane, katy, tx & 77450. Grand lakes, katy needs rescue|[{'locationDesc': '21719 grand hollow lane, katy, tx & 77450', 'locationCate': 'C1', 'startIndex': 29, 'endIndex': 70}, {'locationDesc': 'Grand lakes', 'locationCate': 'C9', 'startIndex': 72, 'endIndex': 83}, {'locationDesc': 'katy', 'locationCate': 'C9', 'startIndex': 54, 'endIndex': 58}]|C1: 21719 grand hollow lane, katy, tx; C1: 77450; C10: Grand lakes, katy
123.txt|houstonflood AIG building spotted on Allen Parkway along Buffalo Bayou|[{'locationDesc': 'Allen Parkway', 'locationCate': 'C2', 'startIndex': 37, 'endIndex': 50}, {'locationDesc': 'Buffalo Bayou', 'locationCate': 'C6', 'startIndex': 57, 'endIndex': 70}]|C8: AIG building; C2: Allen Parkway; C6: Buffalo Bayou
124.txt|houstonflood ANYONE gets info on extent of buffalo bayou flooding near Allen Pkwy and Studemont St & Memorial Ct|[{'locationDesc': 'buffalo bayou', 'locationCate': 'C6', 'startIndex': 43, 'endIndex': 56}, {'locationDesc': 'Allen Pkwy and Studemont St & Memorial Ct', 'locationCate': 'C11', 'startIndex': 71, 'endIndex': 112}]|C6: buffalo bayou; C2: Allen Pkwy; C2: Studemont St; C2: Memorial Ct
125.txt|houstonflood houstonflood Maxey Rd. HelpNeedFrom the North side of Federal Rd. across i10. Can't even get to i10.|[{'locationDesc': 'Maxey Rd', 'locationCate': 'C2', 'startIndex': 26, 'endIndex': 34}, {'locationDesc': 'Federal Rd.', 'locationCate': 'C2', 'startIndex': 67, 'endIndex': 78}, {'locationDesc': 'i10', 'locationCate': 'C3', 'startIndex': 86, 'endIndex': 89}, {'locationDesc': 'i10', 'locationCate': 'C3', 'startIndex': 109, 'endIndex': 112}]|C2: Maxey Rd.; C10: North side of Federal Rd.; C3: i10
126.txt|houstonflood Buffalo Bayou Park near downtown Houston|[{'locationDesc': 'Buffalo Bayou Park', 'locationCate': 'C7', 'startIndex': 13, 'endIndex': 31}, {'locationDesc': 'Houston', 'locationCate': 'C9', 'startIndex': 46, 'endIndex': 53}]|C7: Buffalo Bayou Park; C9: downtown Houston
129.txt|houstonflood Houston flood 2017- In Spotts park and Waugh drive 77007|[{'locationDesc': 'Houston', 'locationCate': 'C9', 'startIndex': 13, 'endIndex': 20}, {'locationDesc': 'Spotts park', 'locationCate': 'C7', 'startIndex': 36, 'endIndex': 47}, {'locationDesc': 'Waugh drive', 'locationCate': 'C2', 'startIndex': 52, 'endIndex': 63}]|C7: Spotts park; C2: Waugh drive; C1: 77007
130.txt|houstonflood Mesa Rd & Tidwell, many people stuck around Shipley Donuts, can't get out, water rising|[{'locationDesc': 'Mesa Rd & Tidwell', 'locationCate': 'C5', 'startIndex': 13, 'endIndex': 30}]|C5: Mesa Rd & Tidwell; C7: Shipley Donuts
131.txt|houstonflood reporting from northside 45 weat rd area. Streeys flooded. This shit nkt looking good|[{'locationDesc': '45 weat rd', 'locationCate': 'C1', 'startIndex': 38, 'endIndex': 48}]|C10: northside 45 weat rd area
133.txt|hurricaneharvey Please help in Sugarland area! Fairwood Creek Lane. Harvey2017, HarveyRescu|[{'locationDesc': 'Sugarland', 'locationCate': 'C9', 'startIndex': 31, 'endIndex': 40}, {'locationDesc': 'Fairwood Creek Lane', 'locationCate': 'C2', 'startIndex': 47, 'endIndex': 66}]|C9: Sugarland area; C2: Fairwood Creek Lane
134.txt|hurricaneharvey feeling antsy (@ Sprouts Farmers Market- in Houston, TX)|[{'locationDesc': 'Houston, TX', 'locationCate': 'C9', 'startIndex': 60, 'endIndex': 71}]|C8: Sprouts Farmers Market; C9: Houston, TX
135.txt|$ 20 limit, rationing at Shell station on Sam Wilson Rd Harvey|[{'locationDesc': 'Sam Wilson Rd', 'locationCate': 'C2', 'startIndex': 42, 'endIndex': 55}]|C8: Shell station; C2: Sam Wilson Rd
